Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Dion Glover,ATL,2000, SG,893000,21,195.58,103.418976,30,6.5,1.3,0.9,-13.9,0.037,0.059,0.224,0.483,0.108,28-54,0.341,82
Jason Terry,ATL,2000, G,1468000,22,187.96,78.017824,81,8.1,2,4.3,-7,0.014,0.083,0.191,0.497,0.3,28-54,0.341,82
Alan Henderson,ATL,2000, PF,5318000,27,205.74,106.59412,82,13.2,7,0.9,-6.7,0.104,0.123,0.194,0.503,0.045,28-54,0.341,82
Chris Crawford,ATL,2000, SF,2000000,25,205.74,106.59412,55,4.6,1.8,0.6,-4.6,0.083,0.079,0.2,0.476,0.084,28-54,0.341,82
Cal Bowdler,ATL,2000, F,1025000,23,208.28,111.13004,46,2.7,1.8,0.3,-13,0.055,0.169,0.156,0.463,0.056,28-54,0.341,82
Kobe Bryant,LAL,2000, SF,9000000,21,200.66,95.25432,66,22.5,6.3,4.9,10.4,0.046,0.128,0.266,0.546,0.215,67-15,0.817,82
Travis Knight,LAL,2000, C,2800000,25,213.36,106.59412,63,1.7,2,0.4,3.7,0.124,0.22,0.167,0.418,0.092,67-15,0.817,82
Robert Horry,LAL,2000, PF,4800000,29,208.28,106.59412,76,5.7,4.8,1.6,12.3,0.088,0.143,0.126,0.528,0.103,67-15,0.817,82
Rick Fox,LAL,2000, SF,3033000,30,200.66,109.769264,82,6.5,2.4,1.7,8.3,0.046,0.098,0.183,0.502,0.144,67-15,0.817,82
Shaquille O'Neal,LAL,2000, C,17142000,28,215.9,142.88148,79,29.7,13.6,3.8,11,0.116,0.246,0.313,0.578,0.184,67-15,0.817,82
Derek Fisher,LAL,2000, PG,3000000,25,185.42,90.7184,78,6.3,1.8,2.8,13.4,0.013,0.07,0.153,0.449,0.176,67-15,0.817,82
Devean George,LAL,2000, SF,790000,22,203.2,99.79024,49,3.2,1.5,0.2,4.1,0.088,0.135,0.227,0.478,0.061,67-15,0.817,82
Steve Nash,DAL,2000, PG,5500000,26,190.5,88.45044,56,8.6,2.2,4.9,3.9,0.025,0.062,0.148,0.601,0.252,40-42,0.488,82
Sean Rooks,DAL,2000, C,1920000,30,208.28,122.46984,71,4.4,3.5,1,-3,0.088,0.179,0.172,0.48,0.099,40-42,0.488,82
Dirk Nowitzki,DAL,2000, F,1583000,22,213.36,107.501304,82,17.5,6.5,2.5,0.5,0.038,0.156,0.212,0.564,0.107,40-42,0.488,82
Vinny Del Negro,MIL,2000, G,1925000,33,193.04,90.7184,67,5.2,1.6,2.4,-6.8,0.009,0.096,0.146,0.51,0.206,42-40,0.512,82
Ray Allen,MIL,2000, SG,9000000,24,195.58,92.98636,82,22.1,4.4,3.8,1.7,0.032,0.104,0.254,0.57,0.166,42-40,0.512,82
Rafer Alston,MIL,2000, PG,301000,23,187.96,77.564232,27,2.2,0.9,2.6,-14.5,0.016,0.065,0.159,0.31,0.321,42-40,0.512,82
Robert Traylor,MIL,2000, PF,2059000,23,203.2,128.820128,44,3.6,2.6,0.5,-5.2,0.129,0.179,0.173,0.517,0.063,42-40,0.512,82
Scott Williams,MIL,2000, C,3750000,32,208.28,104.32616,68,7.6,6.6,0.4,0,0.138,0.218,0.163,0.539,0.028,42-40,0.512,82
Sam Cassell,MIL,2000, PG,3500000,30,190.5,83.91452,81,18.6,3.7,9,2.4,0.028,0.091,0.247,0.551,0.399,42-40,0.512,82
Ervin Johnson,MIL,2000, C,2951000,32,210.82,111.13004,80,4.8,8.1,0.6,3.1,0.128,0.22,0.089,0.55,0.028,42-40,0.512,82
Glenn Robinson,MIL,2000, SF,7250000,27,200.66,104.32616,81,20.9,6,2.4,1.8,0.043,0.149,0.273,0.534,0.112,42-40,0.512,82
Vin Baker,SEA,2000, PF,9000000,28,210.82,113.398,79,16.6,7.7,1.9,0.4,0.087,0.148,0.238,0.5,0.086,45-37,0.549,82
Greg Foster,SEA,2000, C,857000,31,210.82,113.398,60,3.4,1.8,0.7,-0.3,0.025,0.137,0.168,0.43,0.091,45-37,0.549,82
Gary Payton,SEA,2000, PG,11020000,31,193.04,81.64656,82,24.2,6.5,8.9,2.9,0.032,0.139,0.268,0.535,0.368,45-37,0.549,82
Brent Barry,SEA,2000, SG,3960000,28,198.12,88.45044,80,11.8,4.7,3.6,0.6,0.02,0.133,0.15,0.609,0.157,45-37,0.549,82
Rasheed Wallace,POR,2000, PF,10800000,25,210.82,102.0582,81,16.4,7,1.8,9.5,0.057,0.172,0.219,0.556,0.085,59-23,0.72,82
Scottie Pippen,POR,2000, SF,14795000,34,200.66,103.418976,82,12.5,6.3,5,7.5,0.051,0.162,0.195,0.533,0.233,59-23,0.72,82
Jermaine O'Neal,POR,2000, C,5075000,21,210.82,102.511792,70,3.9,3.3,0.3,2.9,0.137,0.173,0.167,0.515,0.036,59-23,0.72,82
Damon Stoudamire,POR,2000, PG,10125000,26,177.8,77.564232,78,12.5,3.1,5.2,7.4,0.031,0.085,0.212,0.508,0.269,59-23,0.72,82
Bonzi Wells,POR,2000, SG,1428000,23,195.58,95.25432,66,8.8,2.8,1.5,6.2,0.089,0.102,0.252,0.54,0.153,59-23,0.72,82
Mike Miller,ORL,2001, SG,2320000,21,203.2,98.883056,82,11.9,4,1.7,2.6,0.03,0.122,0.183,0.541,0.095,43-39,0.524,82
Monty Williams,ORL,2001, SF,548000,29,203.2,102.0582,82,5,3,1,-6.6,0.08,0.145,0.191,0.485,0.122,43-39,0.524,82
Pat Garrity,ORL,2001, PF,1019000,24,205.74,107.954896,76,8.3,2.8,0.7,-1.6,0.034,0.119,0.192,0.507,0.056,43-39,0.524,82
John Amaechi,ORL,2001, PF,598000,30,208.28,122.46984,82,7.9,3.3,0.9,-5.3,0.048,0.128,0.219,0.455,0.074,43-39,0.524,82
Troy Hudson,ORL,2001, PG,523000,25,185.42,77.11064,75,4.8,1.4,2.2,-5.1,0.041,0.075,0.22,0.427,0.269,43-39,0.524,82
Tracy McGrady,ORL,2001, SG,9658000,22,203.2,95.25432,77,26.8,7.5,4.6,4.5,0.067,0.142,0.311,0.521,0.218,43-39,0.524,82
Andrew DeClercq,ORL,2001, C,1920000,28,208.28,115.66596,67,3.9,3.5,0.5,7.4,0.111,0.179,0.137,0.57,0.049,43-39,0.524,82
Bo Outlaw,ORL,2001, PF,4500000,30,203.2,95.25432,80,7.3,7.7,2.8,4.1,0.092,0.183,0.107,0.623,0.128,43-39,0.524,82
Grant Hill,ORL,2001, SF,9658000,28,203.2,102.0582,4,13.8,6.3,6.3,-5.5,0.061,0.147,0.216,0.505,0.329,43-39,0.524,82
Dee Brown,ORL,2001, G,548000,32,187.96,92.98636,7,6.9,1.6,1.7,-10.3,0,0.083,0.153,0.519,0.152,43-39,0.524,82
Don Reid,ORL,2001, F,548000,27,203.2,113.398,64,3.3,3.8,0.3,-0.3,0.12,0.229,0.129,0.59,0.044,43-39,0.524,82
Mike Smith,WAS,2001, F,316000,25,203.2,88.45044,17,3,1.3,0.6,-8.5,0.061,0.084,0.177,0.386,0.093,19-63,0.232,82
Richard Hamilton,WAS,2001, SG,1973000,23,198.12,83.91452,78,18.1,3.1,2.9,-7.2,0.034,0.076,0.281,0.508,0.172,19-63,0.232,82
Popeye Jones,WAS,2001, PF,2815000,31,203.2,113.398,45,3.6,4.9,0.7,-3.1,0.141,0.267,0.134,0.457,0.075,19-63,0.232,82
Hubert Davis,WAS,2001, SG,752000,31,195.58,83.007336,66,7.9,2.1,1.7,-0.1,0.019,0.073,0.144,0.569,0.104,19-63,0.232,82
Jahidi White,WAS,2001, C,3922000,25,205.74,131.54168,68,8.6,7.7,0.3,-7.3,0.131,0.255,0.192,0.535,0.021,19-63,0.232,82
Laron Profit,WAS,2001, SG,508000,23,195.58,92.532768,35,4.3,1.8,2.5,-5.9,0.035,0.088,0.151,0.47,0.224,19-63,0.232,82
Loy Vaught,WAS,2001, F,4812000,33,205.74,108.86208,51,3.3,3.4,0.5,-6,0.107,0.263,0.165,0.484,0.068,19-63,0.232,82
Tyrone Nesby,WAS,2001, F,2990000,25,198.12,111.13004,62,8.3,2.8,1.2,-6.5,0.037,0.093,0.184,0.444,0.082,19-63,0.232,82
Christian Laettner,WAS,2001, PF,6625000,31,210.82,111.13004,78,9.3,4.7,1.6,-2.4,0.085,0.173,0.211,0.568,0.126,19-63,0.232,82
Chris Whitney,WAS,2001, PG,2370000,29,182.88,79.3786,59,9.5,1.8,4.2,-7.7,0.009,0.075,0.182,0.537,0.273,19-63,0.232,82
